inning,is_bot,outs,score_diff_bat,bases_idx,mean,count,LI
1,1,1,6,0,0.0038135052,12,0.10405959
1,1,1,6,1,0.015310773,7,0.41778696
1,1,1,6,2,0.042141996,5,1.1499339
1,1,1,6,3,0.045639593,3,1.2453732
1,1,1,6,4,0.004724264,1,0.12891158
1,1,1,6,5,0.028160214,2,0.7684113
1,1,1,7,0,0.0,4,0.0
1,1,1,7,1,0.0,3,0.0
1,1,1,7,2,0.0,1,0.0
1,1,1,7,5,0.0,1,0.0
1,1,1,7,6,0.0,1,0.0
1,1,1,8,0,0.0,2,0.0
1,1,1,8,2,0.0,1,0.0
1,1,1,8,5,0.0,1,0.0
1,1,1,8,7,0.0,1,0.0
1,1,1,9,0,0.0,1,0.0
1,1,1,9,1,0.0,2,0.0
1,1,1,9,3,0.0,1,0.0
1,1,2,-10,1,0.0,1,0.0
1,1,2,-10,3,0.0,1,0.0
1,1,2,-10,6,0.0,1,0.0
1,1,2,-9,0,0.0,2,0.0
1,1,2,-8,0,0.0,2,0.0
1,1,2,-8,1,0.0,3,0.0
1,1,2,-7,0,0.043450803,2,1.1856475
1,1,2,-7,1,0.056960125,4,1.554278
1,1,2,-7,2,0.053349867,1,1.4557645
1,1,2,-7,3,0.033208027,1,0.9061516
1,1,2,-6,0,0.019517021,19,0.5325634
1,1,2,-6,1,0.049108822,6,1.3400385
1,1,2,-6,2,0.017981838,2,0.49067268
1,1,2,-6,3,0.03053776,3,0.83328766
1,1,2,-6,4,0.010929915,3,0.29824597
1,1,2,-6,5,0.017981838,2,0.49067268
1,1,2,-6,7,0.108194694,2,2.9523222
1,1,2,-5,0,0.03466534,53,0.9459174
1,1,2,-5,1,0.06685405,31,1.8242549
1,1,2,-5,2,0.05658561,7,1.5440586
1,1,2,-5,3,0.1045141,12,2.8518894
1,1,2,-5,4,0.053005174,3,1.4463588
1,1,2,-5,5,0.07997111,7,2.1821818
1,1,2,-5,7,0.11279647,4,3.0778913
1,1,2,-4,0,0.022664329,145,0.6184444
1,1,2,-4,1,0.04087857,69,1.1154587
1,1,2,-4,2,0.053278424,22,1.453815
1,1,2,-4,3,0.07770743,31,2.1204123
1,1,2,-4,4,0.031550705,8,0.86092806
1,1,2,-4,5,0.04630043,14,1.2634057
1,1,2,-4,6,0.064044505,5,1.7475904
1,1,2,-4,7,0.13968731,12,3.8116653
1,1,2,-3,0,0.022879645,337,0.62431973
1,1,2,-3,1,0.039915297,197,1.0891737
1,1,2,-3,2,0.06872762,75,1.8753792
1,1,2,-3,3,0.06332644,76,1.7279965
1,1,2,-3,4,0.06474536,12,1.7667147
1,1,2,-3,5,0.07662462,34,2.0908656
