inning,is_bot,outs,score_diff,bases_idx,wins,total,win_rate
2,0,1,-4,1,15,88,0.17045454545454544
2,0,1,-4,2,4,15,0.26666666666666666
2,0,1,-4,3,7,26,0.2692307692307692
2,0,1,-4,4,0,3,0.0
2,0,1,-4,5,2,13,0.15384615384615385
2,0,1,-4,6,0,1,0.0
2,0,1,-4,7,2,4,0.5
2,0,1,-3,0,55,437,0.12585812356979406
2,0,1,-3,1,32,191,0.16753926701570682
2,0,1,-3,2,19,53,0.3584905660377358
2,0,1,-3,3,15,61,0.2459016393442623
2,0,1,-3,4,2,15,0.13333333333333333
2,0,1,-3,5,8,34,0.23529411764705882
2,0,1,-3,6,0,4,0.0
2,0,1,-3,7,5,18,0.2777777777777778
2,0,1,-2,0,204,973,0.20966084275436794
2,0,1,-2,1,94,426,0.22065727699530516
2,0,1,-2,2,25,107,0.2336448598130841
2,0,1,-2,3,37,142,0.2605633802816901
2,0,1,-2,4,3,11,0.2727272727272727
2,0,1,-2,5,16,73,0.2191780821917808
