team,year,total_war,bat_war,pit_war,actual_w
CHA,1978,-3.4000000000000004,-9.38,5.98,71
BAL,1978,27.120000000000005,11.110000000000001,16.01,90
TEX,1978,35.48,16.32,19.159999999999997,87
PIT,1978,37.59,18.21,19.380000000000003,88
CHN,1978,28.83,15.56,13.27,79
NYA,1978,31.840000000000003,13.280000000000003,18.560000000000002,100
NYN,1978,25.67,11.629999999999999,14.040000000000001,66
PHI,1978,56.86,35.269999999999996,21.59,90
KCA,1978,29.08,15.459999999999999,13.62,92
SLN,1978,25.47,11.51,13.96,69
MON,1978,31.3,21.89,9.41,76
DET,1978,27.29,18.23,9.06,86
MIN,1979,33.47,18.05,15.42,82
CAL,1979,34.129999999999995,23.86,10.27,88
TOR,1979,-2.08,0.07000000000000028,-2.1500000000000004,53
CLE,1979,21.880000000000003,12.89,8.99,81
BOS,1979,38.28,26.5,11.78,91
SDN,1979,29.26,14.14,15.120000000000001,68
PHI,1979,40.040000000000006,26.270000000000003,13.770000000000001,84
SFN,1979,20.439999999999998,9.84,10.6,71
HOU,1979,37.25,18.51,18.74,89
OAK,1979,-9.0,-10.11,1.11,54
CIN,1979,46.31,29.82,16.49,90
BAL,1979,31.37,17.39,13.98,102
LAN,1979,45.17,30.770000000000003,14.4,79
ML4,1979,37.07,27.77,9.3,95
CHA,1979,13.46,5.889999999999999,7.570000000000001,73
TEX,1979,28.810000000000002,17.95,10.860000000000001,83
ATL,1979,27.209999999999994,16.059999999999995,11.15,66
NYA,1979,26.73,10.64,16.09,89
MON,1979,43.260000000000005,24.260000000000005,19.0,95
PIT,1979,53.7,34.69,19.01,98
CHN,1979,41.42,25.389999999999997,16.03,80
SEA,1979,18.130000000000003,15.460000000000003,2.670000000000001,67
NYN,1979,22.11,12.36,9.75,63
KCA,1979,28.51,26.14,2.3699999999999997,85
SLN,1979,43.97,30.73,13.239999999999998,86
DET,1979,23.04,19.21,3.83,85
MIN,1980,18.05,2.41,15.64,77
PHI,1980,51.35000000000001,29.370000000000005,21.98,91
KCA,1980,37.339999999999996,24.909999999999997,12.43,97
TOR,1980,3.6299999999999994,-0.7900000000000005,4.42,67
ATL,1980,29.58,16.73,12.85,81
CLE,1980,26.48,14.47,12.01,79
BOS,1980,32.760000000000005,21.990000000000002,10.77,83
SEA,1980,-1.8899999999999997,-8.0,6.11,59
NYN,1980,14.18,1.6999999999999993,12.48,67
OAK,1980,18.76,7.6400000000000015,11.120000000000001,83
HOU,1980,53.239999999999995,24.939999999999998,28.299999999999997,93
BAL,1980,36.13,21.6,14.53,100
CHA,1980,6.240000000000002,-5.6,11.840000000000002,70
LAN,1980,50.120000000000005,30.760000000000005,19.36,92
ML4,1980,34.209999999999994,22.06,12.149999999999999,86
SDN,1980,30.53,15.27,15.26,73
CAL,1980,12.34,4.6,7.74,65
TEX,1980,30.690000000000005,19.26,11.430000000000001,76
CIN,1980,46.71000000000001,30.24000000000001,16.47,89
MON,1980,47.32,25.78,21.54,90
PIT,1980,40.67,20.31,20.36,83
CHN,1980,24.36,7.569999999999999,16.79,64
SFN,1980,27.37,7.749999999999999,19.62,75
SLN,1980,41.38,26.13,15.250000000000002,74
DET,1980,25.100000000000005,18.050000000000004,7.050000000000001,84
NYA,1980,42.730000000000004,18.670000000000005,24.060000000000002,103
MIN,1981,0.6899999999999995,-6.53,7.22,41
PHI,1981,36.76,24.04,12.719999999999999,59
KCA,1981,16.240000000000002,6.4399999999999995,9.8,50
TOR,1981,-2.670000000000001,-8.64,5.97,37
SFN,1981,21.42,8.4,13.02,56
PIT,1981,14.200000000000001,4.640000000000001,9.56,46
BOS,1981,22.83,15.629999999999999,7.2,59
CHA,1981,22.73,10.22,12.51,54
SEA,1981,14.83,5.74,9.09,44
OAK,1981,15.259999999999998,6.11,9.149999999999999,64
HOU,1981,35.55,15.29,20.26,61
ATL,1981,19.43,7.94,11.489999999999998,50
BAL,1981,14.62,6.76,7.859999999999999,59
NYN,1981,9.89,2.1800000000000006,7.710000000000001,41
LAN,1981,40.580000000000005,22.530000000000005,18.05,63
CLE,1981,15.420000000000002,2.3099999999999996,13.110000000000001,52
ML4,1981,17.06,6.68,10.379999999999999,62
SDN,1981,16.11,7.32,8.79,41
CAL,1981,15.169999999999998,6.769999999999999,8.4,51
TEX,1981,16.16,5.73,10.43,57
CIN,1981,30.189999999999998,19.38,10.809999999999999,66
CHN,1981,8.649999999999999,0.1999999999999998,8.45,38
SLN,1981,25.590000000000003,14.080000000000002,11.51,59
DET,1981,12.89,5.970000000000001,6.92,60
NYA,1981,21.18,4.779999999999999,16.4,59
MON,1981,34.57,17.73,16.84,60
TOR,1982,13.36,1.7600000000000005,11.6,78
PHI,1982,56.03,31.000000000000004,25.029999999999998,89
KCA,1982,26.870000000000005,20.220000000000002,6.65,90
BOS,1982,31.81,20.83,10.98,89
CHA,1982,39.97,20.57,19.4,87
SLN,1982,40.190000000000005,24.490000000000002,15.700000000000003,92
OAK,1982,-8.499999999999998,-4.859999999999999,-3.639999999999999,68
HOU,1982,27.32,11.709999999999999,15.610000000000001,77
BAL,1982,29.57,19.130000000000003,10.44,94
NYN,1982,13.21,4.47,8.74,65
LAN,1982,58.01,33.08,24.93,88
NYA,1982,25.799999999999997,7.700000000000001,18.099999999999998,79
CLE,1982,23.45,10.16,13.29,78
