_name,_pid,projected_war,projection_std,total_pa,avg_woba,highest_level,_in_mlb
Carlos Tocci,624636,4.4,22.0,401.0,0.292,-1,True
Danny Gonzalez,801256,4.4,22.3,245.0,0.3046666666666667,0,False
Jesus Pinto,821765,4.4,22.0,196.0,0.37,0,False
Oliver Tejada,821762,4.4,21.9,205.0,0.385,0,False
Starlin Castro,516770,4.4,21.8,305.0,0.291,-1,True
Marcos De La Rosa,691988,4.4,21.6,465.0,0.2532857142857143,3,False
Joseph Rodriguez,691867,4.4,21.4,515.0,0.32039999999999996,2,False
Moises Gallardo,691865,4.4,21.3,399.0,0.30266666666666664,2,False
Enger Castellano,692634,4.4,21.6,344.0,0.312,0,False
Jhonny Perdomo,692615,4.4,20.9,644.0,0.321,2,False
Jose Perez,814545,4.4,21.6,276.0,0.27949999999999997,0,False
Alfredo Guanchez,814376,4.4,22.8,188.0,0.353,0,False
Sandy Sanchez,800367,4.4,21.9,366.0,0.2936666666666667,0,False
Esteban Mejia,800354,4.4,20.6,667.0,0.29250000000000004,3,False
Juanfel Peguero,800346,4.4,22.1,387.0,0.3016666666666667,0,False
Jose Ramos,692374,4.4,20.7,788.0,0.3084,2,False
