last_name,first_name,player_id,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19,id,name,pitches,rv_tot,pct_tot,rv_11,pct_11,rv_12,pct_12,rv_13,pct_13,rv_14,pct_14,rv_16,pct_16,rv_17,pct_17,rv_18,pct_18,rv_19,pct_19
Pérez,Carlos,542208.0,2016,2283.0,1.0,47.3,26.8,43.7,14.6,73.0,61.7,30.4,40.8,19.7,,,,,,,,,,,,,,,,,,,,,
Contreras,Willson,575929.0,2016,1669.0,1.0,48.1,12.2,32.0,8.2,72.1,59.6,45.5,52.9,29.6,,,,,,,,,,,,,,,,,,,,,
Thole,Josh,489365.0,2016,1122.0,1.0,41.9,18.7,46.7,15.2,77.4,54.0,23.9,35.1,6.1,,,,,,,,,,,,,,,,,,,,,
Stassi,Max,545358.0,2016,128.0,0.0,38.3,9.1,37.5,10.0,72.7,50.0,12.5,42.4,8.3,,,,,,,,,,,,,,,,,,,,,
Alfaro,Jorge,595751.0,2016,126.0,0.0,46.8,33.3,54.5,20.0,77.3,37.5,55.6,40.6,26.3,,,,,,,,,,,,,,,,,,,,,
Murphy,Tom,608596.0,2016,287.0,0.0,43.2,9.1,33.3,0.0,74.0,61.2,13.3,50.0,15.6,,,,,,,,,,,,,,,,,,,,,
Sucre,Jesús,491696.0,2016,202.0,0.0,47.5,33.3,25.0,28.6,70.7,56.5,31.8,52.5,18.5,,,,,,,,,,,,,,,,,,,,,
Fryer,Eric,518700.0,2016,1026.0,0.0,45.6,18.4,23.8,4.2,75.6,51.2,34.8,50.9,25.0,,,,,,,,,,,,,,,,,,,,,
McCann,Brian,435263.0,2016,2510.0,0.0,47.8,11.7,24.9,5.7,75.9,53.9,49.3,52.0,23.2,,,,,,,,,,,,,,,,,,,,,
Hedges,Austin,595978.0,2016,186.0,0.0,46.8,6.7,14.3,12.5,67.4,57.5,31.3,60.6,28.6,,,,,,,,,,,,,,,,,,,,,
Sánchez,Gary,596142.0,2016,1037.0,0.0,48.4,12.7,43.8,6.4,75.5,64.0,35.3,40.6,19.3,,,,,,,,,,,,,,,,,,,,,
Swihart,Blake,596119.0,2016,213.0,0.0,45.1,11.1,30.4,18.2,64.1,77.8,27.3,28.9,17.9,,,,,,,,,,,,,,,,,,,,,
Murphy,John Ryan,571974.0,2016,682.0,0.0,47.4,20.0,45.0,17.4,68.7,56.6,43.7,49.3,15.3,,,,,,,,,,,,,,,,,,,,,
Nicholas,Brett,592592.0,2016,350.0,0.0,45.4,12.8,43.9,37.5,81.0,44.7,31.3,43.8,11.1,,,,,,,,,,,,,,,,,,,,,
Stewart,Chris,455755.0,2016,823.0,0.0,46.8,10.3,12.3,2.6,73.6,50.0,38.9,53.9,42.7,,,,,,,,,,,,,,,,,,,,,
Butera,Drew,460077.0,2016,1083.0,0.0,46.3,17.1,20.5,12.2,75.7,61.1,40.0,51.0,17.3,,,,,,,,,,,,,,,,,,,,,
Kelly,Carson,608348.0,2016,110.0,0.0,45.5,16.7,33.3,40.0,65.0,63.0,22.2,35.3,35.7,,,,,,,,,,,,,,,,,,,,,
Susac,Andrew,572180.0,2016,116.0,0.0,38.8,33.3,44.4,25.0,65.2,50.0,22.2,30.0,15.8,,,,,,,,,,,,,,,,,,,,,
Barnes,Austin,605131.0,2016,163.0,0.0,52.1,66.7,18.2,20.0,80.0,73.5,14.3,58.5,30.8,,,,,,,,,,,,,,,,,,,,,
Federowicz,Tim,543148.0,2016,220.0,0.0,46.4,0.0,45.0,0.0,79.2,47.5,34.6,47.9,15.4,,,,,,,,,,,,,,,,,,,,,
Rosario,Alberto,451705.0,2016,286.0,0.0,45.8,9.1,22.7,16.7,73.8,42.3,47.2,49.2,25.7,,,,,,,,,,,,,,,,,,,,,
Graterol,Juan,492802.0,2016,128.0,0.0,49.2,14.3,50.0,20.0,50.0,84.0,17.6,53.8,40.0,,,,,,,,,,,,,,,,,,,,,
McBride,Matt,473724.0,2016,322.0,0.0,43.5,19.0,33.3,0.0,74.1,61.8,22.9,36.8,8.8,,,,,,,,,,,,,,,,,,,,,
Maxwell,Bruce,622194.0,2016,652.0,-1.0,43.7,6.1,36.4,11.1,73.2,51.7,33.8,43.4,23.0,,,,,,,,,,,,,,,,,,,,,
Severino,Pedro,600474.0,2016,347.0,-1.0,42.9,10.7,30.8,9.1,58.1,53.8,25.0,54.9,20.6,,,,,,,,,,,,,,,,,,,,,
Romine,Austin,519222.0,2016,1204.0,-1.0,46.3,15.9,33.8,8.0,82.4,51.2,49.5,40.9,13.3,,,,,,,,,,,,,,,,,,,,,
Gomes,Yan,543228.0,2016,1935.0,-1.0,44.2,26.0,33.5,13.0,81.8,46.8,39.7,38.9,20.5,,,,,,,,,,,,,,,,,,,,,
